entity_id,entity_type,entity_name,symbol,exchange,sector,is_active
IDX_NIFTY 50,INDEX,NIFTY 50,NIFTY 50,NSE,,TRUE
IDX_NIFTY MIDCAP 100,INDEX,NIFTY MIDCAP 100,NIFTY MIDCAP 100,NSE,,TRUE
IDX_NIFTY 100,INDEX,NIFTY 100,NIFTY 100,NSE,,TRUE
IDX_NIFTY MIDCAP 50,INDEX,NIFTY MIDCAP 50,NIFTY MIDCAP 50,NSE,,TRUE
IDX_NIFTY 200,INDEX,NIFTY 200,NIFTY 200,NSE,,TRUE
IDX_NIFTY MIDCAP 150,INDEX,NIFTY MIDCAP 150,NIFTY MIDCAP 150,NSE,,TRUE
IDX_NIFTY SMLCAP 50,INDEX,NIFTY SMLCAP 50,NIFTY SMLCAP 50,NSE,,TRUE
IDX_NIFTY SMLCAP 100,INDEX,NIFTY SMLCAP 100,NIFTY SMLCAP 100,NSE,,TRUE
IDX_NIFTY SMLCAP 250,INDEX,NIFTY SMLCAP 250,NIFTY SMLCAP 250,NSE,,TRUE
IDX_NIFTY 500,INDEX,NIFTY 500,NIFTY 500,NSE,,TRUE
IDX_NIFTY NEXT 50,INDEX,NIFTY NEXT 50,NIFTY NEXT 50,NSE,,TRUE
IDX_NIFTY TOTAL MKT,INDEX,NIFTY TOTAL MKT,NIFTY TOTAL MKT,NSE,,TRUE
IDX_NIFTY AUTO,INDEX,Auto,NIFTY AUTO,NSE,,TRUE
IDX_NIFTY BANK,INDEX,Bank,NIFTY BANK,NSE,,TRUE
IDX_NIFTY ENERGY,INDEX,Energy,NIFTY ENERGY,NSE,,TRUE
IDX_NIFTY FMCG,INDEX,FMCG,NIFTY FMCG,NSE,,TRUE
IDX_NIFTY IT,INDEX,IT,NIFTY IT,NSE,,TRUE
IDX_NIFTY MEDIA,INDEX,Media,NIFTY MEDIA,NSE,,TRUE
IDX_NIFTY METAL,INDEX,Metal,NIFTY METAL,NSE,,TRUE
IDX_NIFTY OIL AND GAS,INDEX,Oil & Gas,NIFTY OIL AND GAS,NSE,,TRUE
IDX_NIFTY PHARMA,INDEX,Pharma,NIFTY PHARMA,NSE,,TRUE
IDX_NIFTY PVT BANK,INDEX,Private bank,NIFTY PVT BANK,NSE,,TRUE
IDX_NIFTY PSU BANK,INDEX,PSU bank,NIFTY PSU BANK,NSE,,TRUE
IDX_NIFTY REALTY,INDEX,Realty,NIFTY REALTY,NSE,,TRUE
IDX_NIFTY CAPITAL MARKETS,INDEX,Capital Market,NIFTY CAPITAL MARKETS,NSE,,TRUE
IDX_NIFTY COMMODITIES,INDEX,Commodities,NIFTY COMMODITIES,NSE,,TRUE
IDX_NIFTY CPSE,INDEX,CPSE,NIFTY CPSE,NSE,,TRUE
IDX_NIFTY INDIA DEFENCE,INDEX,Defence,NIFTY INDIA DEFENCE,NSE,,TRUE
IDX_NIFTY FIN SERVICE,INDEX,Financial Services,NIFTY FIN SERVICE,NSE,,TRUE
IDX_NIFTY CONSUMPTION,INDEX,India Consumption,NIFTY CONSUMPTION,NSE,,TRUE
IDX_NIFTY INFRA,INDEX,infrastructure,NIFTY INFRA,NSE,,TRUE
IDX_NIFTY MNC,INDEX,MNC,NIFTY MNC,NSE,,TRUE
IDX_NIFTY PSE,INDEX,PSE,NIFTY PSE,NSE,,TRUE
IDX_NIFTY INDIA TOURISM,INDEX,Tourism,NIFTY INDIA TOURISM,NSE,,TRUE
STK_360ONE,STOCK,360 ONE WAM Ltd.,360ONE,NSE,,TRUE
STK_3MINDIA,STOCK,3M India Ltd.,3MINDIA,NSE,,TRUE
STK_ABB,STOCK,ABB India Ltd.,ABB,NSE,,TRUE
STK_ACC,STOCK,ACC Ltd.,ACC,NSE,,TRUE
STK_ACMESOLAR,STOCK,ACME Solar Holdings Ltd.,ACMESOLAR,NSE,,TRUE
STK_AGI,STOCK,AGI Greenpac Ltd.,AGI,NSE,,TRUE
STK_AIAENG,STOCK,AIA Engineering Ltd.,AIAENG,NSE,,TRUE
STK_APLAPOLLO,STOCK,APL Apollo Tubes Ltd.,APLAPOLLO,NSE,,TRUE
STK_ASKAUTOLTD,STOCK,ASK Automotive Ltd.,ASKAUTOLTD,NSE,,TRUE
