symbol,index_name
NIFTY 50,NIFTY 50
NIFTY MIDCAP 100,NIFTY MIDCAP 100
NIFTY 100,NIFTY 100
NIFTY MIDCAP 50,NIFTY MIDCAP 50
NIFTY 200,NIFTY 200
NIFTY MIDCAP 150,NIFTY MIDCAP 150
NIFTY SMLCAP 50,NIFTY SMLCAP 50
NIFTY SMLCAP 100,NIFTY SMLCAP 100
NIFTY SMLCAP 250,NIFTY SMLCAP 250
NIFTY 500,NIFTY 500
NIFTY NEXT 50,NIFTY NEXT 50
NIFTY TOTAL MKT,NIFTY TOTAL MKT
NIFTY AUTO,Auto
NIFTY BANK,Bank
NIFTY ENERGY,Energy
NIFTY FMCG,FMCG
NIFTY IT,IT
NIFTY MEDIA,Media
NIFTY METAL,Metal
NIFTY OIL AND GAS,Oil & Gas
NIFTY PHARMA,Pharma
NIFTY PVT BANK,Private bank
NIFTY PSU BANK,PSU bank
NIFTY REALTY,Realty
NIFTY CAPITAL MARKETS,Capital Market
NIFTY COMMODITIES,Commodities
NIFTY CPSE,CPSE
NIFTY INDIA DEFENCE,Defence
NIFTY FIN SERVICE,Financial Services
NIFTY CONSUMPTION,India Consumption
NIFTY INFRA,infrastructure
NIFTY MNC,MNC
NIFTY PSE,PSE
NIFTY INDIA TOURISM,Tourism
