symbol,stock_name
360ONE,360 ONE WAM Ltd.
3MINDIA,3M India Ltd.
ABB,ABB India Ltd.
ACC,ACC Ltd.
ACMESOLAR,ACME Solar Holdings Ltd.
AGI,AGI Greenpac Ltd.
AIAENG,AIA Engineering Ltd.
APLAPOLLO,APL Apollo Tubes Ltd.
ASKAUTOLTD,ASK Automotive Ltd.
AUBANK,AU Small Finance Bank Ltd.
AWL,AWL Agri Business Ltd.
AADHARHFC,Aadhar Housing Finance Ltd.
AARTIDRUGS,Aarti Drugs Ltd.
AARTIIND,Aarti Industries Ltd.
AARTIPHARM,Aarti Pharmalabs Ltd.
AAVAS,Aavas Financiers Ltd.
ABBOTINDIA,Abbott India Ltd.
ACE,Action Construction Equipment Ltd.
ACUTAAS,Acutaas Chemicals Ltd.
ADANIENSOL,Adani Energy Solutions Ltd.
ADANIENT,Adani Enterprises Ltd.
ADANIGREEN,Adani Green Energy Ltd.
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.
ADANIPOWER,Adani Power Ltd.
ATGL,Adani Total Gas Ltd.
ABCAPITAL,Aditya Birla Capital Ltd.
ABFRL,Aditya Birla Fashion and Retail Ltd.
ABLBL,Aditya Birla Lifestyle Brands Ltd.
ABREL,Aditya Birla Real Estate Ltd.
ABSLAMC,Aditya Birla Sun Life AMC Ltd.
ADVENZYMES,Advanced Enzyme Tech Ltd.
AEGISLOG,Aegis Logistics Ltd.
AEGISVOPAK,Aegis Vopak Terminals Ltd.
AETHER,Aether Industries Ltd.
AFCONS,Afcons Infrastructure Ltd.
AFFLE,Affle 3i Ltd.
AHLUCONT,Ahluwalia Contracts (India) Ltd.
AJANTPHARM,Ajanta Pharmaceuticals Ltd.
AJAXENGG,Ajax Engineering Ltd.
AKUMS,Akums Drugs and Pharmaceuticals Ltd.
AKZOINDIA,Akzo Nobel India Ltd.
APLLTD,Alembic Pharmaceuticals Ltd.
ALIVUS,Alivus Life Sciences Ltd.
ALKEM,Alkem Laboratories Ltd.
ALKYLAMINE,Alkyl Amines Chemicals Ltd.
ALLCARGO,Allcargo Logistics Ltd.
ABDL,Allied Blenders and Distillers Ltd.
ALOKINDS,Alok Industries Ltd.
ARE&M,Amara Raja Energy & Mobility Ltd.
AMBER,Amber Enterprises India Ltd.
AMBUJACEM,Ambuja Cements Ltd.
ANANDRATHI,Anand Rathi Wealth Ltd.
ANANTRAJ,Anant Raj Ltd.
ANGELONE,Angel One Ltd.
ANURAS,Anupam Rasayan India Ltd.
APARINDS,Apar Industries Ltd.
PARKHOTELS,Apeejay Surrendra Park Hotels Ltd.
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.
APOLLOTYRE,Apollo Tyres Ltd.
APTUS,Aptus Value Housing Finance India Ltd.
ACI,Archean Chemical Industries Ltd.
ARVINDFASN,Arvind Fashions Ltd.
ARVIND,Arvind Ltd.
ASAHIINDIA,Asahi India Glass Ltd.
ASHOKLEY,Ashok Leyland Ltd.
ASHOKA,Ashoka Buildcon Ltd.
ASIANPAINT,Asian Paints Ltd.
ASTERDM,Aster DM Healthcare Ltd.
ASTRAMICRO,Astra Microwave Products Ltd.
ASTRAZEN,AstraZenca Pharma India Ltd.
ASTRAL,Astral Ltd.
ATHERENERG,Ather Energy Ltd.
ATUL,Atul Ltd.
AURIONPRO,Aurionpro Solution Ltd.
AUROPHARMA,Aurobindo Pharma Ltd.
AIIL,Authum Investment & Infrastructure Ltd.
AVALON,Avalon Technologies Ltd.
AVANTIFEED,Avanti Feeds Ltd.
DMART,Avenue Supermarts Ltd.
AWFIS,Awfis Space Solutions Ltd.
AXISBANK,Axis Bank Ltd.
AZAD,Azad Engineering Ltd.
BASF,BASF India Ltd.
BEML,BEML Ltd.
BLS,BLS International Services Ltd.
BSE,BSE Ltd.
BAJAJ-AUTO,Bajaj Auto Ltd.
BAJAJELEC,Bajaj Electricals Ltd
BAJFINANCE,Bajaj Finance Ltd.
BAJAJFINSV,Bajaj Finserv Ltd.
BAJAJHLDNG,Bajaj Holdings & Investment Ltd.
BAJAJHFL,Bajaj Housing Finance Ltd.
BALAMINES,Balaji Amines Ltd.
BALKRISIND,Balkrishna Industries Ltd.
BALRAMCHIN,Balrampur Chini Mills Ltd.
BALUFORGE,Balu Forge Industries Ltd.
BANCOINDIA,Banco Products (India) Ltd.
BANDHANBNK,Bandhan Bank Ltd.
BANKBARODA,Bank of Baroda
BANKINDIA,Bank of India
MAHABANK,Bank of Maharashtra
BATAINDIA,Bata India Ltd.
BAYERCROP,Bayer Cropscience Ltd.
BELRISE,Belrise Industries Ltd.
BERGEPAINT,Berger Paints India Ltd.
BBL,Bharat Bijlee Ltd.
BDL,Bharat Dynamics Ltd.
BEL,Bharat Electronics Ltd.
BHARATFORG,Bharat Forge Ltd.
BHEL,Bharat Heavy Electricals Ltd.
BPCL,Bharat Petroleum Corporation Ltd.
BHARTIARTL,Bharti Airtel Ltd.
BHARTIHEXA,Bharti Hexacom Ltd.
BIKAJI,Bikaji Foods International Ltd.
BIOCON,Biocon Ltd.
BIRLACORPN,Birla Corporation Ltd.
BSOFT,Birlasoft Ltd.
BLACKBUCK,Blackbuck Ltd.
BLUEDART,Blue Dart Express Ltd.
BLUEJET,Blue Jet Healthcare Ltd.
BLUESTARCO,Blue Star Ltd.
BBTC,Bombay Burmah Trading Corporation Ltd.
BORORENEW,Borosil Renewables Ltd.
BOSCHLTD,Bosch Ltd.
FIRSTCRY,Brainbees Solutions Ltd.
BRIGADE,Brigade Enterprises Ltd.
BRITANNIA,Britannia Industries Ltd.
MAPMYINDIA,C.E. Info Systems Ltd.
CCL,CCL Products (I) Ltd.
CESC,CESC Ltd.
CGPOWER,CG Power and Industrial Solutions Ltd.
CIEINDIA,CIE Automotive India Ltd.
CMSINFO,CMS Info Systems Ltd.
CRISIL,CRISIL Ltd.
CSBBANK,CSB Bank Ltd.
CAMPUS,Campus Activewear Ltd.
CANFINHOME,Can Fin Homes Ltd.
CANBK,Canara Bank
CAPLIPOINT,Caplin Point Laboratories Ltd.
CGCL,Capri Global Capital Ltd.
CARBORUNIV,Carborundum Universal Ltd.
CARTRADE,Cartrade Tech Ltd.
CASTROLIND,Castrol India Ltd.
CEATLTD,Ceat Ltd.
CEIGALL,Ceigall India Ltd.
CELLO,Cello World Ltd.
CEMPRO,Cemindia Projects Ltd.
CENTRALBK,Central Bank of India
CDSL,Central Depository Services (India) Ltd.
CENTURYPLY,Century Plyboards (India) Ltd.
CERA,Cera Sanitaryware Ltd
CHALET,Chalet Hotels Ltd.
CHAMBLFERT,Chambal Fertilizers & Chemicals Ltd.
CHENNPETRO,Chennai Petroleum Corporation Ltd.
CHOICEIN,Choice International Ltd.
CHOLAHLDNG,Cholamandalam Financial Holdings Ltd.
CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.
CIGNITITEC,Cigniti Technologies Ltd.
CIPLA,Cipla Ltd.
CUB,City Union Bank Ltd.
CLEAN,Clean Science and Technology Ltd.
COALINDIA,Coal India Ltd.
COCHINSHIP,Cochin Shipyard Ltd.
COFORGE,Coforge Ltd.
COHANCE,Cohance Lifesciences Ltd.
COLPAL,Colgate Palmolive (India) Ltd.
CAMS,Computer Age Management Services Ltd.
CONCORDBIO,Concord Biotech Ltd.
CONCOR,Container Corporation of India Ltd.
COROMANDEL,Coromandel International Ltd.
CRAFTSMAN,Craftsman Automation Ltd.
CREDITACC,CreditAccess Grameen Ltd.
CROMPTON,Crompton Greaves Consumer Electricals Ltd.
CUMMINSIND,Cummins India Ltd.
CYIENTDLM,Cyient DLM Ltd.
CYIENT,Cyient Ltd.
DCBBANK,DCB Bank Ltd.
DCMSHRIRAM,DCM Shriram Ltd.
DLF,DLF Ltd.
DOMS,DOMS Industries Ltd.
DABUR,Dabur India Ltd.
DALBHARAT,Dalmia Bharat Ltd.
DATAPATTNS,Data Patterns (India) Ltd.
DATAMATICS,Datamatics Global Services Ltd.
DEEPAKFERT,Deepak Fertilisers & Petrochemicals Corp. Ltd.
DEEPAKNTR,Deepak Nitrite Ltd.
DELHIVERY,Delhivery Ltd.
DEVYANI,Devyani International Ltd.
DHANUKA,Dhanuka Agritech Ltd.
DIACABS,Diamond Power Infrastructure Ltd.
DBL,Dilip Buildcon Ltd.
DCAL,Dishman Carbogen Amcis Ltd.
DIVISLAB,Divi's Laboratories Ltd.
DIXON,Dixon Technologies (India) Ltd.
DODLA,Dodla Dairy Ltd.
AGARWALEYE,Dr. Agarwal's Health Care Ltd.
LALPATHLAB,Dr. Lal Path Labs Ltd.
DRREDDY,Dr. Reddy's Laboratories Ltd.
DUMMYALCAR,Dummy Allcargo Logistics Ltd.
DUMMYHDLVR,Dummy Hindustan Unilever Ltd.
DYNAMATECH,Dynamatic Technologies Ltd.
EIDPARRY,E.I.D. Parry (India) Ltd.
EIHOTEL,EIH Ltd.
